"#","Client_time","Server_time","Event","Village","Spins","Coins","Gems","Pet xp","Pet Food","all_time_spins","device_id","app_version","fb_id","profile","total_xp","Event_id","Activation_segment","Configuration_segment","Multiplier_segment","Current_mission_index","Action_name","Required_amount","Current_amount","Received_amount","Bet_multiplier","Accumulation_event_id","Accumulation_bonus_event_id","Result","Original_amount","Result_amount","Missions_total","Special_event_config_id_1","Special_event_config_id_2","Special_event_config_id_3","Current_mission_reward_reward_0_type","Current_mission_reward_reward_0_amount","Bucket_name","Next_mission_index","Current_mission_overflow","Next_mission_required_amount","Next_mission_rewards_reward_0_type","Next_mission_rewards_reward_0_amount","Spin_result_symbols","Spin_result","Bet Options","Current Bet Option","Auto_spin","Active_special_event_1","Active_special_event_2","Active_special_event_3","Active_special_event_4","Active_special_event_5","Active_special_event_6","Active_special_event_7","Active_special_event_8","Active_special_event_9","Active_special_event_10","Written_by","Config_sub_type","User_segment","Total_received_amount","Rest_of_accumulative_rewards","Final_mission_index","Collection_id","Event_type","Name","Action","Reason","Type","Sub_type","Accumulated_rewards","Reward_0_type","Reward_0_amount","Reward_1_type","Reward_1_amount","Reward_2_type","Reward_2_amount","Reward_3_type","Reward_3_amount","Card_category","Gr_ranges","Container_id","Amount","Reward","Max_bet","Min_bet","Result_type","Mission_current","Mission_progress","Attacked Person","Mission","Bet","Is_auto_spin","Event_spin_result_left","Event_spin_result_middle","Event_spin_result_right","Mission_completed","Source","Card_id","Season_id","Chest_type","Card_1_id","Card_2_id","Card_3_id","Card_4_id","Card_5_id","Card_6_id","Card_7_id","Card_8_id","Card_9_id","Card_name","Is_new","Product_id","Description","Bucket_id","Status","Required_accumulative_amount","Collected","Timer","Time_left","Starts_at","Ends_at","Booster_event_start","Booster_event_end","Visible_offer_number_1","Visible_offer_number_2","Visible_offer_number_3","Visible_offer_number_4","Visible_offer_number_5","Visible_offer_number_6","Reason_of_change","Amount_total","Duration","Os","Date_Installed","Manufacturer","Model","Social_provider_name","Os_version","Fingerprint","Country_code","Session_lengh","Resume_time","First_login","Target_profile_group","Msg","Popup_name","Code"
"11","2022-09-04T05:27:06.023Z","2022-09-04T05:27:06.023Z","event_mission_completed","","","","","","","","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","","","3_5_fband_PGold","","achievement_event_2022-08-29T13:05_ach_ab_test_global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tasks","","ach_test_segvip","","","","","achievement_event","","","","","","","spins","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ach_test_segvip_2_4","task_rank_10_tournament","2","claimable","3","","","","","","","","","","","","","","","","","Android","","","","","","","US","","","","","","",""
"12","2022-09-04T05:27:06.023Z","2022-09-04T05:27:06.023Z","task_status_changed","","","","","","","","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","","","3_5_fband_PGold","","achievement_event_2022-08-29T13:05_ach_ab_test_global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tasks","","ach_test_segvip","","","","","achievement_event","","","","","","","spins","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ach_test_segvip_2_4","task_rank_10_tournament","2","claimable","3","","","","","","","","","","","","","","","","","Android","","","","","","","US","","","","","","",""
"13","2022-09-04T05:27:06.033Z","2022-09-04T05:27:06.033Z","server_login","","","","","","","","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","","2334164020196522","3_5_fband_PGold","","","","","","","","","","","","","","","","","","TokenWheel5","","","","","","","","","","","","","","","","","","","","","","","","","","GameServer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US","","","","PGold","","",""
"14","2022-09-04T05:27:19.428Z","2022-09-04T05:27:19.428Z","special_event_activated","361","77181","47528615932781","0","","","575230","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","","","3_5_fband_PGold","205423","tournament_center_2022-09-04T03:00:00.000Z_62fbb55aaad19b253702bdfd_UUID1","","","","","","","","","","","","","","","","TokenWheel5","","","","","","","","","","","","","","","","","","","","","","","","","","GameServer","","","","","","","tournament_center","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-09-04 03:05:00.000 UTC","2022-09-04 08:55:00.000 UTC","","","","","","","","","","","","","","","","","","","US","","","","","","",""
"15","2022-09-04T05:27:41.907Z","2022-09-04T05:28:09.998Z","badge_in","361","77181","47528615932781","","4090000","249.25","575230","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","3.5.840","2334164020196522","3_5_fband_PGold","205423","gpe_2022-09-03T14:00:00.000Z_630b12b9e91359164383d4e7_UUID1","","","","","","","","","","","","","","","","TokenWheel5","","","","","","","","","","","","","","","false","token_wheel","accumulation","generic_progress_event_gpe_map_event_1","generic_progress_event_gpe_build_event_1","achievement_event_2022-08-29t13:05_ach_ab_test_global","tournament_center_2022-09-04t03:00:00.000z_62fbb55aaad19b253702bdfd_uuid1","","","","","","GPE_Build_Event_1","","","","","","generic_progress_event","event-button-buildrushmapgpe","","","bar","","","booster_event_booster_village_boost_twenty_p_limit_one_ten_min","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Android","2022-04-28T23:20:12.000Z","samsung","SM-S906B","facebook","12","","ES","","","","","","BuildRushGPEEventPopup",""
"16","2022-09-04T05:27:42.689Z","2022-09-04T05:28:09.998Z","badge_in","361","77181","47528615932781","","4090000","249.25","575230","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","3.5.840","2334164020196522","3_5_fband_PGold","205423","accumulation_2022-09-01T13:05","","","","","","","","","","","","","","","","TokenWheel5","","","","","","","","","","","","","","","false","token_wheel","accumulation","generic_progress_event_gpe_map_event_1","generic_progress_event_gpe_build_event_1","achievement_event_2022-08-29t13:05_ach_ab_test_global","tournament_center_2022-09-04t03:00:00.000z_62fbb55aaad19b253702bdfd_uuid1","","","","","","","","","","","","","accumulation","","","event","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Android","2022-04-28T23:20:12.000Z","samsung","SM-S906B","facebook","12","","ES","","","","","","LaborDayGAESpecialEventPopup",""
"17","2022-09-04T05:27:42.795Z","2022-09-04T05:28:09.998Z","badge_in","361","77181","47528615932781","","4090000","249.25","575230","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","3.5.840","2334164020196522","3_5_fband_PGold","205423","achievement_event_2022-08-29T13:05_ach_ab_test_global","","","","","","","","","","","","","","","","TokenWheel5","","","","","","","","","","","","","","","false","token_wheel","accumulation","generic_progress_event_gpe_map_event_1","generic_progress_event_gpe_build_event_1","achievement_event_2022-08-29t13:05_ach_ab_test_global","tournament_center_2022-09-04t03:00:00.000z_62fbb55aaad19b253702bdfd_uuid1","","","","","","","","","","","","achievement_event","achievement_event_2022-08-29T13:05_ach_ab_test_global","","","event","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hours","113752","","","","","","","","","","","","","","Android","2022-04-28T23:20:12.000Z","samsung","SM-S906B","facebook","12","","ES","","","","","","AchievementsEventPopup",""
"18","2022-09-04T05:27:42.962Z","2022-09-04T05:28:09.997Z","badge_in","361","77181","47528615932781","","4090000","249.25","575230","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","3.5.840","2334164020196522","3_5_fband_PGold","205423","gpe_2022-09-03T13:00:00.000Z_630eeb06d81150473a52803a_UUID1","","","","","","","","","","","","","","","","TokenWheel5","","","","","","","","","","","","","","","false","token_wheel","accumulation","generic_progress_event_gpe_map_event_1","generic_progress_event_gpe_build_event_1","achievement_event_2022-08-29t13:05_ach_ab_test_global","tournament_center_2022-09-04t03:00:00.000z_62fbb55aaad19b253702bdfd_uuid1","","","","","","GPE_Map_Event_1","","","","","","generic_progress_event","event-button-tokenadventuregpe","","","bar","","","token_currency_wheel_token_cw_three","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Android","2022-04-28T23:20:12.000Z","samsung","SM-S906B","facebook","12","","ES","","","","","","TokenAdventureGPESpinsEventPopup",""
"19","2022-09-04T05:27:49.546Z","2022-09-04T05:28:09.997Z","achievements_opened","361","77181","47528615932781","","4090000","249.25","575230","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","3.5.840","2334164020196522","3_5_fband_PGold","205423","achievement_event_2022-08-29T13:05_ach_ab_test_global","","","","","","","","","","","","","","","","TokenWheel5","","","","","","","","","","","","","","","","token_wheel","accumulation","generic_progress_event_gpe_map_event_1","generic_progress_event_gpe_build_event_1","achievement_event_2022-08-29t13:05_ach_ab_test_global","tournament_center_2022-09-04t03:00:00.000z_62fbb55aaad19b253702bdfd_uuid1","","","","","","","","","","","","achievement_event","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","badge","","","","","","","","","","","","","","","","","6","","","","","113752","","","","","0","1","0","0","0","0","","7","","Android","2022-04-28T23:20:12.000Z","samsung","SM-S906B","facebook","12","","ES","","","","","","",""
"20","2022-09-04T05:27:54.201Z","2022-09-04T05:28:09.997Z","page_clicked","361","77181","47528615932781","","4090000","249.25","575230","4bda6e4c-a2b4-455b-84c3-889ecd8d3ba4","3.5.840","2334164020196522","3_5_fband_PGold","205423","achievement_event_2022-08-29T13:05_ach_ab_test_global","","","","","","","","","","","","","","","","TokenWheel5","","","","","","","","","","","","","","","","token_wheel","accumulation","generic_progress_event_gpe_map_event_1","generic_progress_event_gpe_build_event_1","achievement_event_2022-08-29t13:05_ach_ab_test_global","tournament_center_2022-09-04t03:00:00.000z_62fbb55aaad19b253702bdfd_uuid1","","","","","","","","","","","","achievement_event","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","unlocked","","","","","","","","","","1","","","","","","","","Android","2022-04-28T23:20:12.000Z","samsung","SM-S906B","facebook","12","","ES","","","","","","",""
